Previous File Location :	8375816
No of Bytes Stored in Previous File :	2266
Model Name :	MIDAS SVP 500
File Name :	UNKNOWN
Site Information :	06102017
Serial No. :	22774
No. of Modules Connected :	2
Fitted Address List :	12;20;
Parameters for each module :	1;2;
User Calibrations :
15;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.000000e+00;0.000000e+00
15;0.000000e+00;0.000000e+00;0.000000e+00;-2.000000e-06;9.943000e-01;0.000000e+00
15;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1.000000e+00;0.000000e+00
Secondary Cal Used :	1;0;0;1;1;0;
Gain :	1000;0;0;80;1000;0;
Offset :	0;0;0;-20000;-20000;0;
Gain Control Settings :	120;0;
SD Selected Flag :	1
Average Mode :	NONE
Moving Average Length :	1
Sample Mode :	CONT
Sample Interval :	120
Sample Rate :	1
Sample Period :	5
Tare Setting :	8.750
Tare Time Stamp :	06/10/2017 06:08:04
Density :	1028.130
Gravity :	9.810
Time Stamp :	06/10/2017 06:09:26
External PSU Voltage :	12
Date / Time	SOUND VELOCITY;M/SEC	PRESSURE;M	TEMPERATURE;C	
06/10/2017 06:09:30.000	1471.613	0.075	13.430	
06/10/2017 06:09:31.000	1471.359	0.311	13.795	
06/10/2017 06:09:32.000	1471.357	0.497	13.891	
06/10/2017 06:09:33.000	1471.395	1.541	14.091	
06/10/2017 06:09:34.000	1471.368	1.828	14.127	
06/10/2017 06:09:35.000	1471.360	1.654	14.137	
06/10/2017 06:09:36.000	1471.370	1.405	14.154	
06/10/2017 06:09:37.000	1471.363	1.430	14.157	
06/10/2017 06:09:38.000	1471.350	1.541	14.157	
06/10/2017 06:09:39.000	1471.366	1.579	14.156	
06/10/2017 06:09:40.000	1471.361	1.629	14.157	
06/10/2017 06:09:41.000	1471.363	1.665	14.160	
06/10/2017 06:09:42.000	1471.363	1.690	14.162	
06/10/2017 06:09:43.000	1471.367	1.629	14.163	
06/10/2017 06:09:44.000	1471.359	1.566	14.166	
06/10/2017 06:09:45.000	1471.373	1.430	14.166	
06/10/2017 06:09:46.000	1471.379	1.491	14.171	
06/10/2017 06:09:47.000	1471.384	1.579	14.173	
06/10/2017 06:09:48.000	1471.372	1.541	14.170	
06/10/2017 06:09:49.000	1471.360	1.629	14.170	
06/10/2017 06:09:50.000	1471.372	1.665	14.169	
06/10/2017 06:09:51.000	1471.362	1.852	14.169	
06/10/2017 06:09:52.000	1471.371	2.250	14.169	
06/10/2017 06:09:53.000	1471.378	2.610	14.169	
06/10/2017 06:09:54.000	1471.386	3.033	14.170	
06/10/2017 06:09:55.000	1471.393	3.568	14.171	
06/10/2017 06:09:56.000	1471.399	4.101	14.168	
06/10/2017 06:09:57.000	1471.418	4.623	14.168	
06/10/2017 06:09:58.000	1471.434	5.121	14.171	
06/10/2017 06:09:59.000	1471.442	5.568	14.171	
06/10/2017 06:10:00.000	1471.432	6.004	14.170	
06/10/2017 06:10:01.000	1471.439	6.501	14.168	
06/10/2017 06:10:02.000	1471.457	7.035	14.170	
06/10/2017 06:10:03.000	1471.465	7.520	14.170	
06/10/2017 06:10:04.000	1471.478	8.004	14.173	
06/10/2017 06:10:05.000	1471.508	8.390	14.175	
06/10/2017 06:10:06.000	1471.514	8.837	14.180	
06/10/2017 06:10:07.000	1471.526	9.371	14.180	
06/10/2017 06:10:08.000	1471.518	9.918	14.175	
06/10/2017 06:10:09.000	1471.532	10.428	14.177	
06/10/2017 06:10:10.000	1471.548	10.838	14.178	
06/10/2017 06:10:11.000	1471.534	11.210	14.176	
06/10/2017 06:10:12.000	1471.546	11.795	14.173	
06/10/2017 06:10:13.000	1471.544	12.254	14.176	
06/10/2017 06:10:14.000	1471.513	12.541	14.166	
06/10/2017 06:10:15.000	1471.505	12.963	14.159	
06/10/2017 06:10:16.000	1471.419	13.597	14.145	
06/10/2017 06:10:17.000	1471.390	14.231	14.125	
06/10/2017 06:10:18.000	1471.380	14.678	14.120	
06/10/2017 06:10:19.000	1471.372	15.076	14.122	
06/10/2017 06:10:20.000	1471.377	15.610	14.110	
06/10/2017 06:10:21.000	1471.290	16.120	14.103	
06/10/2017 06:10:22.000	1470.997	16.455	14.038	
06/10/2017 06:10:23.000	1470.534	16.704	13.957	
06/10/2017 06:10:24.000	1470.235	17.065	13.800	
06/10/2017 06:10:25.000	1469.318	17.723	13.640	
06/10/2017 06:10:26.000	1469.264	18.444	13.529	
06/10/2017 06:10:27.000	1469.276	18.904	13.509	
06/10/2017 06:10:28.000	1469.279	19.078	13.508	
06/10/2017 06:10:29.000	1469.291	18.593	13.521	
06/10/2017 06:10:30.000	1469.263	17.996	13.525	
06/10/2017 06:10:31.000	1469.259	17.375	13.527	
06/10/2017 06:10:32.000	1469.308	17.015	13.536	
06/10/2017 06:10:33.000	1469.775	16.679	13.629	
06/10/2017 06:10:34.000	1470.233	16.281	13.698	
06/10/2017 06:10:35.000	1470.747	15.883	13.847	
06/10/2017 06:10:36.000	1471.151	15.436	13.941	
06/10/2017 06:10:37.000	1471.277	14.927	13.990	
06/10/2017 06:10:38.000	1471.343	14.342	14.037	
06/10/2017 06:10:39.000	1471.452	13.796	14.077	
06/10/2017 06:10:40.000	1471.477	13.298	14.109	
06/10/2017 06:10:41.000	1471.495	12.851	14.131	
06/10/2017 06:10:42.000	1471.499	12.428	14.142	
06/10/2017 06:10:43.000	1471.516	12.056	14.148	
06/10/2017 06:10:44.000	1471.524	11.683	14.151	
06/10/2017 06:10:45.000	1471.512	11.260	14.154	
06/10/2017 06:10:46.000	1471.499	10.726	14.158	
06/10/2017 06:10:47.000	1471.505	10.142	14.163	
06/10/2017 06:10:48.000	1471.503	9.520	14.168	
06/10/2017 06:10:49.000	1471.497	8.961	14.169	
06/10/2017 06:10:50.000	1471.494	8.564	14.172	
06/10/2017 06:10:51.000	1471.494	8.216	14.175	
06/10/2017 06:10:52.000	1471.486	7.855	14.175	
06/10/2017 06:10:53.000	1471.475	7.407	14.175	
06/10/2017 06:10:54.000	1471.453	6.849	14.173	
06/10/2017 06:10:55.000	1471.439	6.252	14.170	
06/10/2017 06:10:56.000	1471.434	5.692	14.171	
06/10/2017 06:10:57.000	1471.424	5.258	14.171	
06/10/2017 06:10:58.000	1471.418	4.835	14.170	
06/10/2017 06:10:59.000	1471.409	4.449	14.169	
06/10/2017 06:11:00.000	1471.405	4.027	14.171	
06/10/2017 06:11:01.000	1471.393	3.543	14.170	
06/10/2017 06:11:02.000	1471.390	2.933	14.170	
06/10/2017 06:11:03.000	1471.375	2.337	14.170	
06/10/2017 06:11:04.000	1471.368	1.989	14.171	
06/10/2017 06:11:05.000	1471.360	1.541	14.169	
06/10/2017 06:11:06.000	1471.349	0.920	14.170	
06/10/2017 06:11:07.000	1471.344	0.386	14.169	
06/10/2017 06:11:08.000	1471.342	0.273	14.170	
