ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
10696;"1it postipunkt";1;EE;"Harju maakond";Tallinn;"Kristiine linnaosa";;"Sõpruse pst";;33;;24.714293;59.420107;"E,T,K,N,R 10:00-18:00 L,P SULETUD";;;;;;;;;;2020-12-10T15:22:57.770+02:00
96243;"Abja Coop Konsumi pakiautomaat";0;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;13;;25.356108;58.125738;;;;;;;;;;;2020-11-25T02:00:03.720+02:00
69494;"Abja-Paluoja postipunkt";1;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;21;;25.353927;58.126151;"E,T,K,N,R 09:00-18:00 L 09:00-14:00 P SULETUD";;;"E,T,K,N,R 09:00-17:00";29.01.2021;;;;;;2021-01-18T12:27:22.460+02:00
48094;"Adavere postipunkt";1;EE;"Jõgeva maakond";"Põltsamaa vald";"Adavere alevik";;"Tallinna mnt";;4;;25.899187;58.706409;"L,P SULETUD";;;"E,T,K,N,R 10:00-17:00";29.01.2021;;;;;;2021-01-20T13:31:39.053+02:00
74594;"Aegviidu postipunkt";1;EE;"Harju maakond";"Anija vald";"Aegviidu alev";;"Piibe mnt";;8;;25.606648;59.288389;"E,T,N,R,P 10:00-16:00 K,L SULETUD";;;;;;;;;;2020-10-28T11:16:11.860+02:00
63794;"Ahja postipunkt";1;EE;"Põlva maakond";"Põlva vald";"Ahja alevik";;"Illimari tn";;6;;27.069935;58.206921;"E,T 16:00-18:00 K,N,R 11:00-13:00 L,P SULETUD";;;;;;;;;;2020-12-09T11:43:37.733+02:00
96142;"Ahtme Grossi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Maleva tn";;23;;27.420448;59.327422;;;;;;;;;;;2020-12-22T09:53:15.863+02:00
96123;"Ahtme Maxima XX pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Puru tee";;77;;27.420109;59.337921;;;;;;;;;;;2021-01-27T06:17:40.063+02:00
12994;"Aiandi postipunkt (Roserii looduspood)";1;EE;"Harju maakond";Tallinn;"Mustamäe linnaosa";;"Mustamäe tee";;60;;24.688512;59.413446;"T,K,N,R 12:30-14:30 E,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-17T12:04:27.073+02:00
9950;"Aizkraukles T/C Iga pakomāts";0;LV;"Aizkraukles novads";Aizkraukle;;;"Gaismas iela";;35;;25.259438;56.610274;;;;;;;;;"Pa labi no T/C ieejas";;2020-11-13T07:25:29.713+02:00
9980;"Aizputes Zvaigžņu ielas TOP pakomāts";0;LV;"Aizputes novads";Aizpute;;;"Zvaigžņu iela";;3;;21.607600;56.722417;;;;;;;;;"Pie otrās T/C ieejas";;2021-01-14T07:03:32.723+02:00
55583;"Akmenės NORFA Daukanto paštomatas";0;LT;"Šiaulių apskr.";"Akmenės r. sav.";"Akmenės m.";;"S. Daukanto g.";;7;;22.752311;56.243503;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T09:25:55.770+02:00
9183;"Aknīstes VESKO pakomāts";0;LV;"Aknīstes novads";Aknīste;;;"Skolas iela";;7;;25.741318;56.161816;;;;;;;;;"Pa labi no ieejas";;2020-11-13T05:47:19.243+02:00
68594;"Ala postipunkt";1;EE;"Valga maakond";"Tõrva vald";"Ala küla";;;;;;25.702107;58.009920;"E,T,K,N,R 10:00-19:00 L,P 10:00-15:00";;;;;;;;;;2021-01-21T07:37:10.997+02:00
60294;"Alatskivi postipunkt";1;EE;"Tartu maakond";"Peipsiääre vald";"Alatskivi alevik";;"Tartu mnt";;15;;27.134867;58.601967;"E,T,K,N,R 09:00-16:00 L 09:00-14:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2021-01-26T11:41:04.050+02:00
74494;"Alavere postipunkt";1;EE;"Harju maakond";"Anija vald";"Alavere küla";;"Oja tn";;1;;25.328382;59.245232;"E,T,K,N,R,L 10:00-19:00 P 10:00-17:00;Ligipääs ratastooliga";;;;;;;;;;2020-12-10T10:56:48.607+02:00
